,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
6257,Нейролингвистика,Saint Petersburg State University,Course,5.8k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6258,Medical Cannabis for Pain Control,Technion - Israel Institute of Technology,Course,13k,Health,healthcare_medicine,1-3 Months,4.5,Beginner
6259,"Clinical Kidney, Pancreas and Islet Transplantation",Universiteit Leiden,Course,17k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6260,Reducing Gun Violence in America: Evidence for Change,Johns Hopkins University,Course,7.7k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6261,Global Disease Masterclass,Imperial College London,Specialization,6.5k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6262,Discover Best Practice Farming for a Sustainable 2050,University of Western Australia,Course,29k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6263,Biochemical Principles of Energy Metabolism,Korea Advanced Institute of Science and Technology(KAIST),Course,24k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6264,Introduction to Breast Cancer,Yale University,Course,43k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6265,Sustainable Food Production Through Livestock Health Management,University of Illinois at Urbana-Champaign,Course,22k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6266,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,Course,52k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6267,The Science of Gastronomy,The Hong Kong University of Science and Technology,Course,78k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6268,Drug Development,University of California San Diego,Course,61k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6269,Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,Course,24k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6270,Inclusión social de personas con discapacidad desde un enfoque de derechos.,Universidad de Chile,Course,20k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6271,Sexualidad...mucho más que sexo,Universidad de los Andes,Course,150k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6272,Clinical Epidemiology,Utrecht University,Course,30k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6273,Urbanisation and Health - Promoting Sustainable Solutions,University of Copenhagen,Course,0,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6274,Basics of Extracellular Vesicles,"University of California, Irvine",Course,15k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6275,EMT Foundations,University of Colorado System,Course,31k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6276,An Introduction to Global Health,University of Copenhagen,Course,26k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6277,"Big Data, Genes, and Medicine",The State University of New York,Course,27k,Health,healthcare_medicine,1-3 Months,4.3,Advanced
6278,Foundational Skills for Communicating About Health,University of Michigan,Course,12k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6279,Herbal Medicine,University of Minnesota,Course,22k,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6280,Major Depression in the Population: A Public Health Approach,Johns Hopkins University,Course,33k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6281,A Life of Happiness and Fulfillment,Indian School of Business,Course,430k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6282,Global Quality Maternal and Newborn Care,Yale University,Course,7k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6283,Logotherapy: Concept of the Human Being,E-Learning Development Fund,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6284,Science Literacy,University of Alberta,Course,11k,Health,healthcare_medicine,1-3 Months,4.4,Beginner
6285,The Brain and Space,Duke University,Course,53k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6286,Basic Principles of Cell Signaling,Korea Advanced Institute of Science and Technology(KAIST),Course,0,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6287,Population Health: Fundamentals of Population Health Management,Universiteit Leiden,Course,4.2k,Health,healthcare_medicine,1-3 Months,4.2,Mixed
6288,Mental Health and Resilience for Healthcare Workers,University of Toronto,Course,2.6k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6289,Расстройства аутистического спектра,Saint Petersburg State University,Course,7.1k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6290,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),Course,48k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6291,Actúa ante el dolor crónico,Universitat Autònoma de Barcelona,Course,14k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6292,Finding Hidden Messages in DNA (Bioinformatics I),University of California San Diego,Course,83k,Health,healthcare_medicine,1-3 Months,4.4,Beginner
6293,The New Nordic Diet - from Gastronomy to Health,University of Copenhagen,Course,47k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6294,Toxicology 21: Scientific Applications,Johns Hopkins University,Course,7.9k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6295,MRI Fundamentals,Korea Advanced Institute of Science and Technology(KAIST),Course,14k,Health,healthcare_medicine,1-3 Months,4.6,Intermediate
6296,Transgender Medicine for General Medical Providers,Icahn School of Medicine at Mount Sinai,Course,4k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6297,Application of Health Equity Research Methods for Practice and Policy,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6298,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",Columbia University,Course,5.9k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6299,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,Course,48k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6300,Qualitative Research Design,Emory University,Course,5.2k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6301,"Easing the burden of obesity, diabetes and cardiovascular disease",The University of Sydney,Course,9.8k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6302,Introduction to Integrative Therapies and Healing Practices,University of Minnesota,Course,18k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6303,Stories of Infection,Stanford University,Course,38k,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6304,Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.,Universiteit Leiden,Course,56k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6305,Global Health at the Human-Animal-Ecosystem Interface,University of Geneva,Course,11k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6306,Drug Commercialization,University of California San Diego,Course,35k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6307,Introduction to Abnormal Psychology,Wesleyan University,Course,2.1k,Health,healthcare_medicine,1-3 Months,5,Beginner
6308,Aromatherapy: Clinical Use of Essential Oils,University of Minnesota,Course,16k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6309,The Challenges of Global Health,Duke University,Course,47k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6310,Evolution: A Course for Educators,American Museum of Natural History,Course,24k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6311,Infection Prevention in Nursing Homes,The University of North Carolina at Chapel Hill,Course,21k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6312,"Synapses, Neurons and Brains",Hebrew University of Jerusalem,Course,66k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6313,"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",Duke University,Course,20k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6314,Introduction to Hearing Loss,Icahn School of Medicine at Mount Sinai,Course,5.7k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6315,Knowledge and Skills for Dementia Care: the SSLD Approach,University of Toronto,Course,0,Health,healthcare_medicine,1-3 Months,4.2,Beginner
6316,Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,Course,35k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6317,Diabetes - a Global Challenge,University of Copenhagen,Course,40k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6318,Introduction to Algae,University of California San Diego,Course,20k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6319,Психодиагностика,National Research Tomsk State University,Course,28k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6320,Understanding Cancer Metastasis,Johns Hopkins University,Course,47k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6321,Understanding Prostate Cancer,Johns Hopkins University,Course,14k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6322,Music as Biology: What We Like to Hear and Why,Duke University,Course,56k,Health,healthcare_medicine,1-3 Months,4.3,Mixed
6323,Circadian clocks: how rhythms structure life,Ludwig-Maximilians-Universität München (LMU),Course,8.7k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6324,#talkmentalillness,University of Colorado Boulder,Course,2.1k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6325,Voice Disorders: What Patients and Professionals Need to Know,Icahn School of Medicine at Mount Sinai,Course,8k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6326,Curanderismo:Influencias Globales de la Medicina Tradicional,University of New Mexico,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6327,Bacterial Bioinformatics,University of Virginia,Course,4.2k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6328,心理学与生活,Nanjing University,Course,48k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6329,Advanced Neurobiology I,Peking University,Course,48k,Health,healthcare_medicine,1-3 Months,4,Intermediate
6330,AI in Healthcare Capstone,Stanford University,Course,3.1k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6331,Psychology of Popularity,The University of North Carolina at Chapel Hill,Course,61k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6332,ГМО: технологии создания и применение,Novosibirsk State University,Course,15k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6333,Genomics: Decoding the Universal Language of Life,University of Illinois at Urbana-Champaign,Course,31k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6334,Genes and the Human Condition (From Behavior to Biotechnology),"University of Maryland, College Park",Course,54k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6335,Зоопсихология,National Research Tomsk State University,Course,4.8k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6336,"Biological Diversity (Theories, Measures and Data sampling techniques)",National Research Tomsk State University,Course,11k,Health,healthcare_medicine,1-3 Months,4.2,Intermediate
6337,Opioid Epidemic: From Evidence to Impact,Johns Hopkins University,Course,2.1k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6338,Foundations of International Psychiatry,The University of Melbourne,Course,12k,Health,healthcare_medicine,1-3 Months,4.6,Advanced
6339,Chimpanzee Behavior and Conservation,Duke University,Course,8k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6340,Emergence of Life,University of Illinois at Urbana-Champaign,Course,15k,Health,healthcare_medicine,1-3 Months,4.2,Beginner
6341,PrEParing: PrEP for Providers and Patients,Johns Hopkins University,Course,5.1k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6342,Ecosystems of California,"University of California, Santa Cruz",Course,3.7k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6343,Population Health: Syndemics,Universiteit Leiden,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6344,Improving Immunity Based on Traditional Eastern Exercises,Shanghai Jiao Tong University,Course,2k,Health,healthcare_medicine,1-3 Months,4.2,Beginner
6345,Bioinformatic Methods I,University of Toronto,Course,93k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6346,Pharmacology of Antibacterial Agents,E-Learning Development Fund,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6347,Public Health in Humanitarian Crises 2,Johns Hopkins University,Course,4k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6348,Introducción a la Psicología,Universidad Austral,Course,3.7k,Health,healthcare_medicine,1-3 Months,4.5,Beginner
6349,Fixing Healthcare Delivery 2.0: Advanced Lean,University of Florida,Course,4.2k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6350,"Global Health Security, Solidarity and Sustainability through the International Health Regulations",University of Geneva,Course,4.1k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6351,History of Racial Inequity in Healthcare,University of Michigan,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6352,Qualitative Data Analysis with MAXQDA Software,Emory University,Course,2.2k,Health,healthcare_medicine,1-3 Months,4.6,Intermediate
6353,"Medical Emergencies: Airway, Breathing, and Circulation",University of Colorado System,Course,27k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6354,Математические методы в психологии. Основы применения (Mathematical Methods in Psychology: Basics of Applying),Saint Petersburg State University,Course,6.8k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6355,Hypothesis Testing in Public Health,Johns Hopkins University,Course,11k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6356,La solución del conflicto ético,Universidad Nacional Autónoma de México,Course,26k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6357,Управление человеческими ресурсами,Peter the Great St. Petersburg Polytechnic University,Course,9k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6358,Compreendendo o Zika e doenças emergentes,Universidade de São Paulo,Course,9.7k,Health,healthcare_medicine,1-3 Months,5,Intermediate
6359,Saúde Baseada em Evidências,Universidade Estadual de Campinas,Course,20k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6360,Методологические проблемы психологии,Saint Petersburg State University,Course,5.1k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6361,Hearing Loss in Children,University of Michigan,Course,4.4k,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6362,Diagnóstico y tratamiento del dolor neuropático en atención primaria,Universidad de los Andes,Course,8.1k,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6363,Measuring and Modeling Impact in Evaluations,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6364,From Disease to Genes and Back,Novosibirsk State University,Course,16k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6365,Case Studies in Personalized Medicine,Vanderbilt University,Course,27k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6366,Everyday Chinese Medicine 2,The Chinese University of Hong Kong,Course,5.2k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6367,COVID-19 Training for Healthcare Workers,Stanford University,Course,88k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6368,Feeding the World,University of Pennsylvania,Course,9.7k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6369,Epidemics,The University of Hong Kong,Course,8.4k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6370,Population Health: Alternative Payment Models,Universiteit Leiden,Course,0,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6371,Evidence-based Toxicology,Johns Hopkins University,Course,6k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6372,Essentials of Palliative Care,Stanford University,Course,1.7k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6373,Global Health Innovations,Imperial College London,Specialization,6.2k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6374,Mindware: Critical Thinking for the Information Age,University of Michigan,Course,55k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6375,医学统计学与SPSS软件（基础篇）,Peking University,Course,12k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6376,Diseño de proyectos para promover el bienestar,Universidad de los Andes,Course,37k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6377,Protists: Evolution and Ecology of Microbial Eukaryotes,Saint Petersburg State University,Course,3.5k,Health,healthcare_medicine,1-3 Months,4.1,Intermediate
6378,Основы вирусологии (Introduction to Virology),Novosibirsk State University,Course,17k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6379,Введение в биоинформатику (Introduction to Bioinformatics),Saint Petersburg State University,Course,12k,Health,healthcare_medicine,1-3 Months,4.3,Beginner
6380,Questionnaire Design for Social Surveys,University of Michigan,Course,32k,Health,healthcare_medicine,1-3 Months,4.5,Mixed
6381,Introduction to Climate Change and Health,Yale University,Course,18k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6382,SARS-CoV-2 and acute respiratory viral infections,Saint Petersburg State University,Course,4.9k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6383,当代应用心理学,Shanghai Jiao Tong University,Course,8.9k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6384,Acute and Chronic Rhinosinusitis: A Comprehensive Review,Icahn School of Medicine at Mount Sinai,Course,18k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6385,Evaluating Public Health Programs at Scale,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6386,eHealth: More than just an electronic record,The University of Sydney,Course,18k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6387,Non-Alcoholic Fatty Liver Disease – The Essentials,University of Copenhagen,Course,2.7k,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6388,Lymphoedema: Monitoring & Intervention After Breast Cancer,Macquarie University,Course,0,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6389,Women in environmental biology,Universitat Autònoma de Barcelona,Course,5.5k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6390,Disease Clusters,Johns Hopkins University,Course,14k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6391,Uso prudente de antimicrobianos en el entorno hospitalario,Universidad Nacional de Colombia,Course,0,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6392,Anatomy: Human Neuroanatomy,University of Michigan,Course,29k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6393,COVID-19 Contact Tracing,Johns Hopkins University,Course,1.3m,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6394,Stayin’ Alive! First aid in Emergency,E-Learning Development Fund,Course,5.3k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6395,"Drugs, drug use, drug policy and health",University of Geneva,Course,25k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6396,Myocardial Infarction,University of Zurich,Course,20k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6397,Health Concepts in Chinese Medicine,The Hong Kong University of Science and Technology,Course,18k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6398,Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,Course,19k,Health,healthcare_medicine,1-3 Months,4.4,Mixed
6399,Visual Perception and the Brain,Duke University,Course,27k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6400,HPV-Associated Oral and Throat Cancer: What You Need to Know,Icahn School of Medicine at Mount Sinai,Course,12k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6401,"Engineering Life: Synbio, Bioethics & Public Policy",Johns Hopkins University,Course,6.4k,Health,healthcare_medicine,1-3 Months,4.3,Intermediate
6402,Childbirth: A Global Perspective,Emory University,Course,13k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6403,Population Health: Health & Health Behaviour,Universiteit Leiden,Course,4k,Health,healthcare_medicine,1-3 Months,3.9,Intermediate
6404,Curanderismo: Global & Cultural Influences of Traditional Healing,University of New Mexico,Course,3.4k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6405,"Impacting the Opioid Crisis: Prevention, Education, and Practice for Non-Prescribing Providers",University of Michigan,Course,3.3k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6406,Kids with Cancer Still Need School: The Providers Role,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6407,Global Adolescent Health,The University of Melbourne,Course,8.1k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6408,Rastreo de los contactos de la COVID-19,Johns Hopkins University,Course,10k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6409,Методологические проблемы психологии. Часть 2,Saint Petersburg State University,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6410,Service Transformed: Lessons in U.S. Veteran Centered Care,University of Michigan,Course,1.7k,Health,healthcare_medicine,1-3 Months,4.2,Mixed
6411,Ebola : Vaincre ensemble !,University of Geneva,Course,5.2k,Health,healthcare_medicine,1-3 Months,4.4,Mixed
6412,Fundamentals of Immunology: T Cells and Signaling,Rice University,Course,18k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6413,Lactation Biology,University of Illinois at Urbana-Champaign,Course,6.4k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6414,Unravelling solutions for Future Food problems,Utrecht University,Course,13k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6415,Fundamentals of Immunology: Death by Friendly Fire,Rice University,Course,13k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6416,Heart Physiology,Saint Petersburg State University,Course,0,Health,healthcare_medicine,1-3 Months,3.8,Intermediate
6417,Ecology: from cells to Gaia,National Research Tomsk State University,Course,11k,Health,healthcare_medicine,1-3 Months,4.4,Intermediate
6418,Unethical Decision Making in Organizations,University of Lausanne,Course,20k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6419,The exposome: cracking the science about what makes us sick,Utrecht University,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6420,Population Health: Study Design,Universiteit Leiden,Course,2.4k,Health,healthcare_medicine,1-3 Months,4.4,Intermediate
6421,Evolution Today,Universiteit Leiden,Course,8.3k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6422,Experimental Methods in Systems Biology,Icahn School of Medicine at Mount Sinai,Course,18k,Health,healthcare_medicine,1-3 Months,4.5,Mixed
6423,Introduction to Systems Biology,Icahn School of Medicine at Mount Sinai,Course,39k,Health,healthcare_medicine,1-3 Months,4.3,Mixed
6424,Preventative Healthcare for the Newborn Baby,University of Colorado System,Course,14k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6425,What is Palliative Care?,University of Colorado System,Course,6.6k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6426,Introduction to Integrative Nursing,University of Minnesota,Course,4.2k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6427,中医药与中华传统文化,Shanghai Jiao Tong University,Course,18k,Health,healthcare_medicine,1-3 Months,4.3,Mixed
6428,Network Analysis in Systems Biology,Icahn School of Medicine at Mount Sinai,Course,18k,Health,healthcare_medicine,1-3 Months,4.5,Intermediate
6429,Simple Regression Analysis in Public Health,Johns Hopkins University,Course,8.8k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6430,Управление людьми и командами,Saint Petersburg State University,Course,5.3k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6431,Bioinformatic Methods II,University of Toronto,Course,30k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6432,Guided Imagery,University of Minnesota,Course,6.8k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6433,Психология профессиональной успешности,HSE University,Course,2.1k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6434,Введение в физиологию (Introduction to physiology),Saint Petersburg State University,Course,11k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6435,Генетика (Genetics),Novosibirsk State University,Course,26k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6436,Эпигенетика. Краткий курс по управлению генами,Novosibirsk State University,Course,3.2k,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6437,Введение в паразитологию,Saint Petersburg State University,Course,3.7k,Health,healthcare_medicine,1-3 Months,4.6,Intermediate
6438,Diálisis peritoneal,Universidad Nacional Autónoma de México,Course,25k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6439,Understanding Memory: Explaining the Psychology of Memory through Movies,Wesleyan University,Course,100k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6440,手把手教你心理咨询：谈话的艺术,Nanjing University,Course,8.7k,Health,healthcare_medicine,1-3 Months,4.5,Beginner
6441,TECH MeD: Transdisciplinary Education for Critical Hacks of Medical Devices,University of Florida,Course,2.5k,Health,healthcare_medicine,1-3 Months,4.4,Mixed
6442,Cosmetologia em prol do envelhecimento com saúde e beleza,Universidade Estadual de Campinas,Course,3.7k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6443,Fixing Healthcare Delivery,University of Florida,Course,13k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6444,Репродуктивное здоровье женщины и безопасная беременность,National Research Tomsk State University,Course,3k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6445,Физиология сердца и его дисфункции,Saint Petersburg State University,Course,0,Health,healthcare_medicine,1-3 Months,0,Mixed
6446,Anticoncepción hormonal al alcance de todos,Universitat Autònoma de Barcelona,Course,4.6k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6447,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,Course,2.7k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6448,Health for All Through Primary Health Care,Johns Hopkins University,Course,15k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6449,Genome Sequencing (Bioinformatics II),University of California San Diego,Course,24k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6450,Fundamentals of Immunology: Dueling with the Dark Side,Rice University,Course,3.2k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6451,Skills for Nursing Informatics Leaders,University of Minnesota,Course,5.2k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6452,"Sampling People, Networks and Records",University of Michigan,Course,9k,Health,healthcare_medicine,1-3 Months,4.5,Beginner
6453,Symptom Management in Palliative Care,Stanford University,Course,0,Health,healthcare_medicine,1-3 Months,4.1,Intermediate
6454,Psychosocial and Spiritual Aspects of Palliative Care,University of Colorado System,Course,2.9k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6455,Training and Learning Programs for Volunteer Community Health Workers,Johns Hopkins University,Course,4.9k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6456,History of Mental Illness,Wesleyan University,Course,0,Health,healthcare_medicine,1-3 Months,4.5,Beginner
6457,Communicating Climate Change and Health,Yale University,Course,3.6k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6458,Diagnosing Health Behaviors for Global Health Programs,Johns Hopkins University,Course,4k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6459,Achieving Health Equity in Healthcare,University of Michigan,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6460,Community Change in Public Health,Johns Hopkins University,Course,11k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6461,Dynamical Modeling Methods for Systems Biology,Icahn School of Medicine at Mount Sinai,Course,16k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6462,Plant Bioinformatics,University of Toronto,Course,7.5k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6463,The Newborn Assessment,University of Colorado System,Course,6.7k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6464,Mindfulness in Integrative Healthcare,University of Minnesota,Course,8.9k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6465,Nursing Informatics Training and Education,University of Minnesota,Course,3.5k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6466,Introduction to Human Behavioral Genetics,University of Minnesota,Course,28k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6467,Здоровье семьи: загадки родословной,National Research Tomsk State University,Course,3.3k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6468,AIDS: Fear and Hope,University of Michigan,Course,13k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6469,Regulated Competition in Healthcare Systems: Theory & Practice,Erasmus University Rotterdam,Course,1.6k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6470,Supporting Families and Caregivers,Stanford University,Course,0,Health,healthcare_medicine,1-3 Months,3.2,Beginner
6471,Transitions in Care from Survivorship to Hospice,Stanford University,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
