,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
154,Leading People and Teams Capstone,University of Michigan,Course,10k,Business,business_and_management,1-3 Months,4.8,Mixed
155,Costos para los Negocios,Universidad de Chile,Course,64k,Business,business_and_management,1-3 Months,4.8,Intermediate
156,Fundamentos de la gestión del talento humano,UBITS,Course,2.3k,Business,business_and_management,1-3 Months,4.7,Beginner
157,More Introduction to Financial Accounting,University of Pennsylvania,Course,49k,Business,business_and_management,1-3 Months,4.8,Mixed
158,Conflict Transformation,Emory University,Course,32k,Business,business_and_management,1-3 Months,4.8,Beginner
159,Excel Power Tools for Data Analysis,Macquarie University,Course,10k,Business,business_and_management,1-3 Months,4.9,Intermediate
160,Управление инновационными проектами,Moscow Institute of Physics and Technology,Course,14k,Business,business_and_management,1-3 Months,4.6,Intermediate
161,Leading Sustainable Community Transformation,University of Colorado Boulder,Specialization,6.9k,Business,business_and_management,1-3 Months,4.3,Beginner
162,"Financial Statements, SEC Filings and Ratio Analysis",University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Mixed
163,Global Financing Solutions (by EDHEC and Société Générale),EDHEC Business School,Course,9.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
164,Hacer negocios en América Latina,Pontificia Universidad Católica de Chile,Specialization,8.5k,Business,business_and_management,1-3 Months,4.8,Beginner
165,Crédito y cobranza,Universidad Nacional Autónoma de México,Course,5.9k,Business,business_and_management,1-3 Months,4.8,Beginner
166,FoundX Startup School Course,The University of Tokyo,Course,2.1k,Business,business_and_management,1-3 Months,0,Beginner
167,Liderazgo y habilidades de negociación,Tecnológico de Monterrey,Specialization,2k,Business,business_and_management,1-3 Months,4.6,Advanced
168,Design: Creation of Artifacts in Society,University of Pennsylvania,Course,57k,Business,business_and_management,1-3 Months,4.7,Beginner
169,Sales Management,Peter the Great St. Petersburg Polytechnic University,Course,9.2k,Business,business_and_management,1-3 Months,4.6,Beginner
170,Procurement Basics,Rutgers the State University of New Jersey,Course,9.1k,Business,business_and_management,1-3 Months,4.7,Beginner
171,Global Public Procurement,Korea Advanced Institute of Science and Technology(KAIST),Course,2.1k,Business,business_and_management,1-3 Months,4.7,Intermediate
172,Budgeting essentials and development,Fundação Instituto de Administração,Course,11k,Business,business_and_management,1-3 Months,4.5,Intermediate
173,Digital Business Models,Lund University,Course,37k,Business,business_and_management,1-3 Months,4.6,Beginner
174,Branding and Customer Experience,IE Business School,Course,18k,Business,business_and_management,1-3 Months,4.6,Intermediate
175,Managing Project Risks and Changes,"University of California, Irvine",Course,130k,Business,business_and_management,1-3 Months,4.7,Mixed
176,"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",University of Manchester,Course,21k,Business,business_and_management,1-3 Months,4.7,Mixed
177,Gestão de Operações,Insper,Course,15k,Business,business_and_management,1-3 Months,4.8,Beginner
178,Principles of Public Relations,University of Colorado Boulder,Course,0,Business,business_and_management,1-3 Months,4.6,Beginner
179,"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",University at Buffalo,Course,23k,Business,business_and_management,1-3 Months,4.4,Mixed
180,Цифровой маркетинг для электронной коммерции,Saint Petersburg State University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
181,Decentralized Finance (DeFi) Opportunities and Risks,Duke University,Course,0,Business,business_and_management,1-3 Months,4.9,Intermediate
182,Strategic Management,Copenhagen Business School,Course,89k,Business,business_and_management,1-3 Months,4.8,Mixed
183,"Autoridad, dirección y liderazgo",Universidad Nacional Autónoma de México,Course,50k,Business,business_and_management,1-3 Months,4.8,Beginner
